city,name,displayName,region,longitude,latitude,userRating
Jakarta,The Sultan Hotel & Residence Jakarta,The Sultan Hotel Jakarta,"Senayan, Jakarta",106.809331,-6.216947,4
Jakarta,Aryaduta Suite Semanggi,Aryaduta Suite Semanggi,"Karet Semanggi, Jakarta",106.81611743684005,-6.219991301063097,4
Jakarta,Aloft South Jakarta,Aloft South Jakarta,"Cilandak Timur, Jakarta",106.8162942,-6.291784031,4
Jakarta,"The Langham, Jakarta","The Langham, Jakarta","Senayan, Jakarta",106.8063958,-6.227097,4
Jakarta,"Hotel Mulia Senayan, Jakarta","Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",106.797045,-6.215131,4
Jakarta,ASTON Priority Simatupang & Conference Center,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",106.834503,-6.301503,4
Jakarta,Merlynn Park Hotel,Merlynn Park Hotel,"Petojo Utara, Jakarta",106.815414,-6.165894,4
Jakarta,Ascott Sudirman Jakarta,Ascott Sudirman Jakarta,"Karet Semanggi, Jakarta",106.81968129999996,-6.2215855,4
Jakarta,"The Hermitage, a Tribute Portfolio Hotel, Jakarta","The Hermitage, a Tribute Portfolio Hotel, Jakarta","Menteng, Jakarta",106.838031,-6.198188,4
Jakarta,Mercure Convention Center Ancol,Mercure Convention Center Ancol - CHSE Certified,"Ancol, Jakarta",106.836323,-6.122196,4
Jakarta,Hotel Borobudur Jakarta,Hotel Borobudur Jakarta,"Pasar Baru, Jakarta",106.83579,-6.172478,4
Jakarta,Discovery Ancol,Discovery Ancol,"Ancol, Jakarta",106.830982,-6.125865,4
Jakarta,Yuan Garden Pasar Baru,Yuan Garden Pasar Baru,"Pasar Baru, Jakarta",106.83275252580644,-6.163203600688937,4
Jakarta,Hotel Menara Peninsula,Menara Peninsula Hotel Jakarta,"Slipi, Jakarta",106.797909,-6.189983,4
Jakarta,"The Ritz-Carlton Jakarta, Pacific Place Hotel","The Ritz-Carlton Jakarta, Pacific Place Hotel","Senayan, Jakarta",106.809681,-6.223285,4
Jakarta,Grand Hyatt Jakarta,Grand Hyatt Jakarta,"Thamrin, Jakarta",106.82246199999996,-6.192628300000001,4
Jakarta,Century Park Hotel,Century Park Hotel,"Senayan, Jakarta",106.8029623920654,-6.223261201271582,4
Jakarta,Best Western Premier The Hive,Best Western Premier The Hive,"Cawang, Jakarta",106.875336,-6.245033,4
